AN	MORPH_TYPE	EXPONENT	BASE_POS	SEM_TYPE
agonisant	affixed	ant	v	action
appelant	affixed	ant	v	action
apprenant	affixed	ant	v	action
arrivant	affixed	ant	v	action
assaillant	affixed	ant	v	action
assiégeant	affixed	ant	v	action
assistant	affixed	ant	v	action
attaquant	affixed	ant	v	action
combattant	affixed	ant	v	action
commandant	affixed	ant	v	action
commençant	affixed	ant	v	action
commerçant	affixed	ant	v	action
commettant	affixed	ant	v	action
communiant	affixed	ant	v	action
communicant	affixed	ant	v	action
concédant	affixed	ant	v	action
conquérant	affixed	ant	v	action
contractant	affixed	ant	v	action
contrevenant	affixed	ant	v	action
coopérant	affixed	ant	v	action
correspondant	affixed	ant	v	action
cotisant	affixed	ant	v	action
débitant	affixed	ant	v	action
débutant	affixed	ant	v	action
déposant	affixed	ant	v	action
détaillant	affixed	ant	v	action
dirigeant	affixed	ant	v	action
écoutant	affixed	ant	v	action
émigrant	affixed	ant	v	action
encadrant	affixed	ant	v	action
enseignant	affixed	ant	v	action
entrant	affixed	ant	v	action
épargnant	affixed	ant	v	action
étudiant	affixed	ant	v	action
exécutant	affixed	ant	v	action
exploitant	affixed	ant	v	action
fabricant	affixed	ant	v	action
fabricante	affixed	ant	v	action
flagellant	affixed	ant	v	action
fuyant	affixed	ant	v	action
gagnant	affixed	ant	v	action
gérant	affixed	ant	v	action
gouvernant	affixed	ant	v	action
gouvernante	affixed	ant	v	action
immigrant	affixed	ant	v	action
intervenant	affixed	ant	v	action
judaïsant	affixed	ant	v	action
manifestant	affixed	ant	v	action
médisant	affixed	ant	v	action
mendiant	affixed	ant	v	action
migrant	affixed	ant	v	action
militant	affixed	ant	v	action
mourant	affixed	ant	v	action
mutant	affixed	ant	v	action
navigant	affixed	ant	v	action
négociant	affixed	ant	v	action
observant	affixed	ant	v	action
officiant	affixed	ant	v	action
offrant	affixed	ant	v	action
opposant	affixed	ant	v	action
participant	affixed	ant	v	action
passant	affixed	ant	v	action
perdant	affixed	ant	v	action
plaignant	affixed	ant	v	action
postulant	affixed	ant	v	action
poursuivant	affixed	ant	v	action
pratiquant	affixed	ant	v	action
récitant	affixed	ant	v	action
récoltant	affixed	ant	v	action
redoublant	affixed	ant	v	action
repentant	affixed	ant	v	action
répondant	affixed	ant	v	action
requérant	affixed	ant	v	action
résistant	affixed	ant	v	action
revenant	affixed	ant	v	action
ruminant	affixed	ant	v	action
servant	affixed	ant	v	action
servante	affixed	ant	v	action
soignant	affixed	ant	v	action
suicidant	affixed	ant	v	action
suppléant	affixed	ant	v	action
surveillant	affixed	ant	v	action
survivant	affixed	ant	v	action
trafiquant	affixed	ant	v	action
vivant	affixed	ant	v	action
votant	affixed	ant	v	action
